locus_tag	ftype	length_bp	gene	EC_number	COG	product
VP226_00001	CDS	2574	clpB		COG0542	Chaperone protein ClpB
VP226_00002	CDS	729	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
VP226_00003	CDS	978	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
VP226_00004	CDS	729	bamD		COG4105	Outer membrane protein assembly factor BamD
VP226_00005	CDS	1482	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
VP226_00006	CDS	327	raiA		COG1544	Ribosome-associated inhibitor A
VP226_00007	CDS	1179	pheA		COG0077	P-protein
VP226_00008	CDS	534		3.6.1.-	COG1986	Non-canonical purine NTP phosphatase
VP226_00009	CDS	312	trpR		COG2973	Trp operon repressor
VP226_00010	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
VP226_00011	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
VP226_00012	CDS	369				hypothetical protein
VP226_00013	CDS	1002	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
VP226_00014	CDS	1128	tyrA		COG0287	T-protein
VP226_00015	CDS	1074	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
VP226_00016	CDS	984	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
VP226_00017	CDS	1113	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
VP226_00018	CDS	927	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
VP226_00019	CDS	333				hypothetical protein
VP226_00020	CDS	342				hypothetical protein
VP226_00021	CDS	1485	cstA		COG1966	Peptide transporter CstA
VP226_00022	CDS	1671	btsS_1	2.7.13.3	COG3275	Sensor histidine kinase BtsS
VP226_00023	CDS	729	btsR_1		COG3279	Transcriptional regulatory protein BtsR
VP226_00024	CDS	954	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
VP226_00025	CDS	459	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
VP226_00026	CDS	510	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
VP226_00027	CDS	2829	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
VP226_00028	CDS	936	ribF		COG0196	Riboflavin biosynthesis protein RibF
VP226_00029	CDS	1563	murJ		COG0728	putative lipid II flippase MurJ
VP226_00030	CDS	261	rpsT		COG0268	30S ribosomal protein S20
VP226_00031	CDS	297	hlyU		COG0640	Transcriptional activator HlyU
VP226_00032	CDS	891	nhaR		COG0583	Transcriptional activator protein NhaR
VP226_00033	CDS	1149				hypothetical protein
VP226_00034	CDS	1143				hypothetical protein
VP226_00035	CDS	852	thyA	2.1.1.45	COG0207	Thymidylate synthase
VP226_00036	CDS	822	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
VP226_00037	CDS	792				hypothetical protein
VP226_00038	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
VP226_00039	CDS	525	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
VP226_00040	CDS	681	mutH		COG3066	DNA mismatch repair protein MutH
VP226_00041	CDS	312				hypothetical protein
VP226_00042	CDS	1035	tas		COG0667	Protein tas
VP226_00043	CDS	252				hypothetical protein
VP226_00044	CDS	111				hypothetical protein
VP226_00045	CDS	1335	zraR_1		COG2204	Transcriptional regulatory protein ZraR
VP226_00046	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
VP226_00047	CDS	783	prfB		COG1186	Peptide chain release factor RF2
VP226_00048	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
VP226_00049	CDS	789	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
VP226_00050	CDS	918	xerD_1		COG4974	Tyrosine recombinase XerD
VP226_00051	CDS	519	fldB		COG0716	Flavodoxin 2
VP226_00052	CDS	1314	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
VP226_00053	CDS	648	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
VP226_00054	CDS	1224	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
VP226_00055	CDS	777				hypothetical protein
VP226_00056	CDS	1434	alsT_1		COG1115	Amino-acid carrier protein AlsT
VP226_00057	CDS	186				hypothetical protein
VP226_00058	CDS	552				hypothetical protein
VP226_00059	CDS	681	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
VP226_00060	CDS	888	nfo	3.1.21.2	COG0648	Endonuclease 4
VP226_00061	CDS	378	grcA		COG3445	Autonomous glycyl radical cofactor
VP226_00062	CDS	1281	thrC	4.2.3.1	COG0498	Threonine synthase
VP226_00063	CDS	957	thrB	2.7.1.39	COG0083	Homoserine kinase
VP226_00064	CDS	2460	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
VP226_00065	CDS	471				hypothetical protein
VP226_00066	CDS	483		4.1.3.17	COG0684	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
VP226_00067	CDS	408				hypothetical protein
VP226_00068	CDS	717	arcA_1		COG0745	Aerobic respiration control protein ArcA
VP226_00069	CDS	465				hypothetical protein
VP226_00070	CDS	2352	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
VP226_00071	CDS	1746	cph2_1			Phytochrome-like protein cph2
VP226_00072	CDS	960				hypothetical protein
VP226_00073	CDS	4554	gltB_1	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
VP226_00074	CDS	1470	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
VP226_00075	CDS	4464	gltB_2	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
VP226_00076	CDS	1413	gltD_2	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
VP226_00077	CDS	429				hypothetical protein
VP226_00078	CDS	696	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
VP226_00079	CDS	954	cobD		COG1270	Cobalamin biosynthesis protein CobD
VP226_00080	CDS	825	btuF		COG0614	Vitamin B12-binding protein
VP226_00081	CDS	621				hypothetical protein
VP226_00082	CDS	861	ampR_1			HTH-type transcriptional activator AmpR
VP226_00083	CDS	780	yfcA_1		COG0730	putative membrane transporter protein YfcA
VP226_00084	CDS	780				hypothetical protein
VP226_00085	CDS	423				hypothetical protein
VP226_00086	CDS	3234	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
VP226_00087	CDS	1140	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
VP226_00088	CDS	810	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
VP226_00089	CDS	399	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
VP226_00090	CDS	2727	secA_1		COG0653	Protein translocase subunit SecA
VP226_00091	CDS	456				hypothetical protein
VP226_00092	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
VP226_00093	CDS	1230	ftsZ		COG0206	Cell division protein FtsZ
VP226_00094	CDS	1263	ftsA		COG0849	Cell division protein FtsA
VP226_00095	CDS	783	ftsQ		COG1589	Cell division protein FtsQ
VP226_00096	CDS	1458	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
